NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Eldorado/SP,PEDRO CUBAS DE CIMA,"6976,4922","69,49004449","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,IVAPORUNDUVA,"2713,09932","26,06576144","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,"PEDRO CUBAS (gleba ""C"")","207,44996","2,074485557","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Eldorado/SP,"PEDRO CUBAS (gleba ""D"")","1659,07048","16,59059663","0,11","0,26","0,28","0,32","0,35","0,43","0,78",0,"0,67","0,7"
Iguape/SP,S?O MIGUEL DO MORRO SECO,"164,52988","1,413949637","0,17","0,12","0,18","0,29","0,35","0,38","0,7",0,"0,73","0,75"
Iporanga/SP,MARIA ROSA,"3463,9181","34,52927374","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,PORTO DOS PILOES,"6287,57446","62,62335002","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,GALV?O,"2175,28593","18,36326653","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,SAO PEDRO,"4687,92616","10,71158248","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,CANGUME,"854,6211","0,090244162","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,PEDRO CUBAS DE CIMA,"6976,4922","0,274377102","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,JO?O SUR?,"6419,12497","1,343623969","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,IVAPORUNDUVA,"2713,09932","1,065039111","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,PORTO VELHO,"957,86864","8,214650258","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Iporanga/SP,S?O JO?O,"2654,74163","0,231615121","0,04","0,02","0,27","0,32","0,35","0,36","0,54",0,"0,45","0,34"
Itaoca/SP,CANGUME,"854,6211","8,45590588",0,"0,16","0,42","0,36","0,35","0,35","0,58","0,53","0,34","0,28"
Itaoca/SP,PORTO VELHO,"957,86864","0,719807487",0,"0,16","0,42","0,36","0,35","0,35","0,58","0,53","0,34","0,28"
Itapeva/SP,JA? (Gleba 01),"98,37733","0,983766321","0,29","0,32","0,38","0,4","0,35","0,84","0,88","0,73","0,61","0,51"
Itapeva/SP,JA? (Gleba 02),"67,39058","0,673900999","0,29","0,32","0,38","0,4","0,35","0,84","0,88","0,73","0,61","0,51"
Itapirapu? Paulista/SP,VARZE?O,"7264,02598","0,621681871",0,0,"0,34","0,35","0,35","0,31","0,7","0,62","0,38","0,29"
Itatiba/SP,BROTAS,"12,47583","0,124757426","0,61","0,41","0,3","0,42","0,35","0,36","0,69","0,52","0,29","0,15"
Juqui?/SP,S?O MIGUEL DO MORRO SECO,"164,52988","0,231338394","0,32","0,21","0,23","0,37","0,35","0,67","0,71","0,63","0,49","0,61"
Salto de Pirapora/SP,CAFUND?,"200,18984","2,001884038","0,49","0,36","0,59","0,46","0,35","0,63","0,6","0,54","0,44","0,3"
Ubatuba/SP,CAMBURY,"629,04565","6,256288401","0,59","0,32","0,3","0,5","0,35","0,38","0,7","0,04","0,63","0,7"
Ubatuba/SP,CAMBURY,"343,96186","3,43595986","0,59","0,32","0,3","0,5","0,35","0,38","0,7","0,04","0,63","0,7"
Ubatuba/SP,CA?ANDOCA,"879,40605","8,704283399","0,59","0,32","0,3","0,5","0,35","0,38","0,7","0,04","0,63","0,7"
Abdon Batista/SC,INVERNADA DOS NEGROS,"7959,23204","22,4801385","0,11",0,0,"0,44","0,38","0,24","0,61","0,39",0,0
Balne?rio Cambori?/SC,Territ?rio Quilombola do Morro do Boi,"30,39255","0,303924733","0,44","0,38","0,51","0,6","0,38","0,31","0,83","0,63",0,"0,6"
